word_id,word,word_type
1,nEf,contrastive
2,fub,non_contrastive
3,mab,novel
4,mif,non_contrastive
5,nal,contrastive
6,lOm,non_contrastive
7,daf,contrastive
8,snid,contrastive
9,snOf,non_contrastive
10,blim,non_contrastive
11,blaf,contrastive
12,skub,novel
13,flOb,non_contrastive
14,klEb,novel
15,balf,contrastive
16,dOlk,novel
17,mOls,non_contrastive
18,fOns,non_contrastive
19,suld,novel
20,nifs,non_contrastive
21,nEsk,contrastive
22,nOflE,non_contrastive
23,dikla,novel
24,dEsna,non_contrastive
25,dasmu,contrastive
26,kublE,contrastive
27,bEsmi,contrastive
28,luskO,novel
29,smiba,non_contrastive
30,skEfi,contrastive
31,klufE,novel
32,smadu,contrastive
33,klOda,novel
34,flidu,non_contrastive
35,slOku,contrastive
36,skOnEf,novel
37,blEkus,contrastive
38,snibOl,non_contrastive
39,klusim,novel
40,flEsOd,contrastive
41,slinab,non_contrastive
42,flabun,novel
