participant_number,participant_trial_id,target,target_lag,primary_coder_transcription,secondary_coder_transcription
31,91,snid,nifs,nifs,nifs
47,181,kubnE,kublE,kublE,kublE
48,101,mif,blim,blim,fin
52,97,snibOl,flOb,flOb,flOb
73,91,smadu,nEsk,nEsk,nEsk
74,118,smiba,flOb,flOb,lab
148,120,bOlf,smiba,smiba,smiba
171,112,blEkus,dasmu,dasmu,dasmu
195,93,bEsmi,nal,nal,nal
196,91,snibOl,smiba,smiba,sniba
196,94,smiba,flOb,flOb,lab
201,94,nOl,lOm,blOm,lOm
215,118,dOf,sni,sni,sni
259,115,slinab,dOf,dOf,dO
319,112,bismi,nif,nEf,nif
323,111,fub,flOb,flub,flOb
340,91,slinab,fOns,fOls,fOns
352,134,mif,nEf,nEf,nEf
358,117,fub,fOns,fOns,fOns
401,99,flisO,blOf,blOf,bOf
401,102,slinab,bOlf,bOlf,bOf
412,107,snOf,mOls,mOls,mOls
441,143,balf,bnaf,bnaf,bnaf
467,91,sxifi,smOdu,smOdu,smOdu
520,119,blim,lOm,blam,lOm
555,99,nOl,lOm,lOm,lOm
