task,variety_exposure,word_type,zoi,coi,n_subj,n_item,coi_percent,prop_correct
reading,variety_match,contrastive,359,31,40,15,8.64,0.55
reading,variety_match,non_contrastive,391,17,40,15,4.35,0.62
reading,variety_match,novel,215,40,37,12,18.6,0.39
reading,variety_mismatch,contrastive,29,17,3,15,58.62,0.27
reading,variety_mismatch,non_contrastive,31,13,3,13,41.94,0.46
reading,variety_mismatch,novel,19,15,3,12,78.95,0.11
reading,variety_mismatch_social,contrastive,67,4,10,15,5.97,0.42
reading,variety_mismatch_social,non_contrastive,81,2,10,14,2.47,0.56
reading,variety_mismatch_social,novel,40,1,9,11,2.5,0.39
reading,dialect_literacy,contrastive,171,19,21,15,11.11,0.48
reading,dialect_literacy,non_contrastive,246,21,21,15,8.54,0.71
reading,dialect_literacy,novel,131,30,21,12,22.9,0.4
spelling,variety_match,contrastive,869,96,75,15,11.05,0.69
spelling,variety_match,non_contrastive,895,100,74,15,11.17,0.72
spelling,variety_match,novel,350,60,62,12,17.14,0.39
spelling,variety_mismatch,contrastive,880,116,75,15,13.18,0.68
spelling,variety_mismatch,non_contrastive,915,116,74,15,12.68,0.72
spelling,variety_mismatch,novel,365,112,71,12,30.68,0.3
spelling,variety_mismatch_social,contrastive,790,118,67,15,14.94,0.67
spelling,variety_mismatch_social,non_contrastive,827,100,68,15,12.09,0.71
spelling,variety_mismatch_social,novel,349,88,63,12,25.21,0.35
spelling,dialect_literacy,contrastive,790,141,69,15,17.85,0.63
spelling,dialect_literacy,non_contrastive,896,112,68,15,12.5,0.77
spelling,dialect_literacy,novel,346,88,64,12,25.43,0.34
