task,variety_exposure,.value,.lower,.upper,.width,.point,.interval
Reading,Variety Match,0.224,0.156,0.332,0.95,median,qi
Reading,Variety Mismatch,0.22,0.157,0.291,0.95,median,qi
Reading,Variety Mismatch Social,0.212,0.145,0.299,0.95,median,qi
Reading,Dialect Literacy,0.244,0.176,0.326,0.95,median,qi
Spelling,Variety Match,0.272,0.212,0.337,0.95,median,qi
Spelling,Variety Mismatch,0.291,0.207,0.442,0.95,median,qi
Spelling,Variety Mismatch Social,0.28,0.205,0.389,0.95,median,qi
Spelling,Dialect Literacy,0.292,0.213,0.425,0.95,median,qi
Reading,Variety Match,0.224,0.166,0.31,0.9,median,qi
Reading,Variety Mismatch,0.22,0.165,0.279,0.9,median,qi
Reading,Variety Mismatch Social,0.212,0.156,0.282,0.9,median,qi
Reading,Dialect Literacy,0.244,0.186,0.312,0.9,median,qi
Spelling,Variety Match,0.272,0.221,0.328,0.9,median,qi
Spelling,Variety Mismatch,0.291,0.219,0.409,0.9,median,qi
Spelling,Variety Mismatch Social,0.28,0.218,0.364,0.9,median,qi
Spelling,Dialect Literacy,0.292,0.225,0.397,0.9,median,qi
Reading,Variety Match,0.224,0.177,0.287,0.8,median,qi
Reading,Variety Mismatch,0.22,0.178,0.265,0.8,median,qi
Reading,Variety Mismatch Social,0.212,0.168,0.264,0.8,median,qi
Reading,Dialect Literacy,0.244,0.197,0.296,0.8,median,qi
Spelling,Variety Match,0.272,0.232,0.316,0.8,median,qi
Spelling,Variety Mismatch,0.291,0.233,0.377,0.8,median,qi
Spelling,Variety Mismatch Social,0.28,0.231,0.341,0.8,median,qi
Spelling,Dialect Literacy,0.292,0.238,0.368,0.8,median,qi
