variety_exposure,.value,.lower,.upper,.width,.point,.interval
No Dialect,0.689,0.609,0.743,0.95,median,qi
Dialect,0.638,0.553,0.702,0.95,median,qi
Dialect & Social,0.666,0.587,0.726,0.95,median,qi
Dialect Literacy,0.665,0.561,0.731,0.95,median,qi
No Dialect,0.689,0.623,0.736,0.9,median,qi
Dialect,0.638,0.568,0.693,0.9,median,qi
Dialect & Social,0.666,0.6,0.718,0.9,median,qi
Dialect Literacy,0.665,0.577,0.723,0.9,median,qi
No Dialect,0.689,0.639,0.727,0.8,median,qi
Dialect,0.638,0.585,0.682,0.8,median,qi
Dialect & Social,0.666,0.615,0.708,0.8,median,qi
Dialect Literacy,0.665,0.598,0.713,0.8,median,qi
